canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2,,^5.1|5.0,,^3,,^2,,^1,
11_b_political_party_committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,11(b) Political Party committees,83,21(a)i Federal Share,83,21(a)i Federal Share,83,21(a)i Federal Share,83,s_21(a)i Federal Share,83,s_21(a)i Federal Share
11_c_other_political_committees_pacs,84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,11(c) Other Political Committees  (PACs),84,21(a)ii Non-Federal Share,84,21(a)ii Non-Federal Share,84,21(a)ii Non-Federal Share,84,s_21(a)ii non-federal share,84,s_21(a)ii non-federal share
11_d_total_contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,11(d) Total Contributions,85,21(b) Other Federal Operating Expenditures,85,21(b) Other Federal Operating Expenditures,85,21(b) Other Federal Operating Expenditures,85,s_21(b) other Federal operating expenditures,85,s_21(b) other Federal operating expenditures
12_transfers_from_affiliated_other_party_cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,12. Transfers from Affiliated/Other Party Cmtes,86,21(c) Total operating Expenditures,86,21(c) Total operating Expenditures,86,21(c) Total operating Expenditures,86,s_21(c) Total operating Expenditures,86,s_21(c) Total operating Expenditures
13_all_loans_received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,13. All Loans Received,87,22. Transfers to Affiliated/Other Party Cmtes,87,22. Transfers to Affiliated/Other Party Cmtes,87,22. Transfers to Affiliated/Other Party Cmtes,87,s_22 Transfers to Affiliated/Other Party Cmtes,87,s_22. Transfers to Affiliated/OtherParty Cmtes
14_loan_repayments_received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,14. Loan Repayments Received,88,23. Contributions to Federal Candidates/Cmtes,88,23. Contributions to Federal Candidates/Cmtes,88,23. Contributions to Federal Candidates/Cmtes,88,s_23 Contributions to Federal Candidates/Cmtes,88,s_23. Contributions to Federal Candidates/Cmtes
15_offsets_to_operating_expenditures_refunds,89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,15. Offsets to Operating Expenditures (refunds),89,24. Independent Expenditures,89,24. Independent Expenditures,89,24. Independent Expenditures,89,s_24 Independent Expenditures,89,s_24. Independent Expenditures
16_refunds_of_federal_contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,16. Refunds of Federal Contributions,90,25. Coordinated Expend made by Party Cmtes,90,25. Coordinated Expend made by Party Cmtes,90,25. Coordinated Expenditures made by Party Cmtes,90,s_25 Coordinated Expenditures made by party Cmtes,90,s_25. Coordinated Expenditures made by party Cmtes
17_other_federal_receipts_dividends,91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,17. Other Federal Receipts (dividends),91,26. Loan Repayments Made,91,26. Loan Repayments Made,91,26. Loan Repayments Made,91,s_26 Loan repayments Made,91,s_26. Loan repayments Made
18_a_transfers_from_nonfederal_account_h3,92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,18(a) Transfers from Nonfederal Account (H3),92,27. Loans Made,92,27. Loans Made,92,27. Loans Made,92,s_27 Loans Made,92,s_27. Loans Made
18_b_transfers_from_non_federal_levin_h5,93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,18(b) Transfers from Non-Federal (Levin - H5),93,28(a) Individuals/Persons,93,28(a) Individuals/Persons,93,28(a) Individuals/Persons,93,s_28(a) individuals/Persons,93,s_28(a) individuals/Persons
18_c_total_non_federal_transfers_18a_18b,94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,18(c) Total Non-Federal Transfers (18a+18b),94,28(b) Political Party Committees,94,28(b) Political Party Committees,94,28(b) Political Party Committees,94,s_28(b) Political Party Committees,94,s_28(b) Political Party Committees
19_total_receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,19. Total Receipts,95,28(c) Other Political  Committees,95,28(c) Other Political  Committees,95,28(c) Other Political  Committees,95,s_28(c) Other Political Committees,95,s_28(c) Other Political Committees
20_total_federal_receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,20. Total Federal Receipts,96,28(d) Total contributions Refunds,96,28(d) Total contributions Refunds,96,28(d) Total contributions Refunds,96,s_28(d) Total contributions refunds,96,s_28(d) Total contributions refunds
21_a_i_federal_share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,21(a)i Federal Share,97,29. Other Disbursements,97,29. Other Disbursements,97,29. Other Disbursements,97,s_29 Other Disbursements,97,s_29. Other Disbursements
21_a_ii_non_federal_share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,21(a)ii Non-Federal Share,98,31. Total Disbursements,98,31. Total Disbursements,98,30. Total Disbursements,98,s_30 Total Disbursements,98,s_30. Total Disbursements
21_b_other_federal_operating_expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,21(b) Other Federal Operating Expenditures,99,32. Total Federal Disbursements,99,32. Total Federal Disbursements,99,31. Total Federal Disbursements,99,s_31 Total Federal Disbursements,99,s_31. Total Federal Disbursements
21_c_total_operating_expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,21(c) Total operating Expenditures,100,33. Total Contributions,100,33. Total Contributions,100,32. Total Contributions,100,s_32 Total Contributions,100,. 32. Total Contributions
22_transfers_to_affiliated_other_party_cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,22. Transfers to Affiliated/Other Party Cmtes,101,34. Total Contribution Refunds,101,34. Total Contribution Refunds,101,33. Total Contribution Refunds,101,s_33 Total Contribution Refunds,101,s_33. Total Contribution Refunds
23_contributions_to_federal_candidates_cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,23. Contributions to Federal Candidates/Cmtes,102,35. Net contributions,102,35. Net contributions,102,34. Net contributions,102,s_34 Net contributions,102,s_34. Net contributions
24_independent_expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,24. Independent Expenditures,103,36. Total Federal Operating Expenditures,103,36. Total Federal Operating Expenditures,103,35. Total Federal Operating Expenditures,103,s_35 Total Federal Operating Expenditures,103,s_35. Total Federal Operating Expenditures
25_coordinated_expend_made_by_party_cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,25. Coordinated Expend made by Party Cmtes,104,37. Offsets to Operating Expenditures,104,37. Offsets to Operating Expenditures,104,36. Offsets to Operating Expenditures,104,s_36 Offsets to Operating Expenditures,104,s_36. Offsets to Operating Expenditures
26_loan_repayments_made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,26. Loan Repayments Made,105,38. Net Operating Expenditures,105,38. Net Operating Expenditures,105,37. Net Operating Expenditures,105,s_37 Net Operating Expenditures,105,s_37. Net Operating Expenditures
27_loans_made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,27. Loans Made,106,NAME/TREASURER (as signed),106,NAME/TREASURER (as signed),106,NAME/TREASURER (as signed),106,IND/NAME (Treasurer),106,IND/NAME (TREASURER)
28_a_individuals_persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,28(a) Individuals/Persons,107,DATE   (Signed),107,DATE   (Signed),107,DATE   (Signed),107,DATE (Signed),107,DATE (SIGNED)
28_b_political_party_committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,28(b) Political Party Committees,108,18(b) Transfers from Non-Federal (Levin - H5),108,COLUMN A YTD TOTALS - LEVIN ACTIVITY,,,,,,
28_c_other_political_committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,28(c) Other Political  Committees,109,18(c) Total Non-Federal Transfers (18a+18b),109,18(b) Transfers from Non-Federal (Levin - H5),,,,,,
28_d_total_contributions_refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,28(d) Total contributions Refunds,110,30(a)i  Shared Federal Activity (H6) Fed Share,110,18(c) Total Non-Federal Transfers (18a+18b),,,,,,
29_other_disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,29. Other Disbursements,111,30(a)ii Shared Federal Activity (H6) Non-Fed,111,30(a)i  Shared Federal Activity (H6) Fed Share,,,,,,
30_a_i_shared_federal_activity_h6_fed_share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(a)i  Shared Federal Activity (H6) Fed Share,112,30(b) Non-Allocable 100% Fed Election Activity,112,30(a)ii Shared Federal Activity (H6) Non-Fed,,,,,,
30_a_ii_shared_federal_activity_h6_non_fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(a)ii Shared Federal Activity (H6) Non-Fed,113,30(c) Total Federal Election Activity,113,30(b) Non-Allocable 100% Fed Election Activity,,,,,,
30_b_non_allocable_100_fed_election_activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,30(b) Non-Allocable 100% Fed Election Activity,114,18(b) Transfers from Non-Federal (Levin - H5),114,30(c) Total Federal Election Activity,,,,,,
30_c_total_federal_election_activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,30(c) Total Federal Election Activity,115,18(c) Total Non-Federal Transfers (18a+18b),115,18(b) Transfers from Non-Federal (Levin - H5),,,,,,
31_total_disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,31. Total Disbursements,116,30(a)i  Shared Federal Activity (H6) Fed Share,116,18(c) Total Non-Federal Transfers (18a+18b),,,,,,
32_total_federal_disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,32. Total Federal Disbursements,117,30(a)ii Shared Federal Activity (H6) Non-Fed,117,30(a)i  Shared Federal Activity (H6) Fed Share,,,,,,
33_total_contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,33. Total Contributions,118,30(b) Non-Allocable 100% Fed Election Activity,118,30(a)ii Shared Federal Activity (H6) Non-Fed,,,,,,
34_total_contribution_refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,34. Total Contribution Refunds,119,30(c) Total Federal Election Activity,119,30(b) Non-Allocable 100% Fed Election Activity,,,,,,
